# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 4.000000e-01
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (5.000000e-01 0.000000e+00 5.000000e-02)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.3           	9.124358e-06	1.423450e+00	-1.396104e-04	-6.068086e-05	-7.892958e-05
0.6           	1.194557e-05	1.534118e+00	-2.199062e-04	-9.800751e-05	-1.218987e-04
0.9           	2.368618e-05	1.601704e+00	-8.664518e-05	-1.963641e-05	-6.700877e-05
1.2           	3.242154e-06	1.612969e+00	-6.306041e-05	-2.828805e-05	-3.477236e-05
1.5           	8.369112e-05	1.582036e+00	-8.826546e-05	3.955839e-05	-1.278238e-04
1.8           	-1.232968e-04	1.530224e+00	-2.702750e-04	-2.584343e-04	-1.184072e-05
2.1           	2.577757e-04	1.462744e+00	9.326519e-04	7.241016e-04	2.085503e-04
2.4           	8.186411e-05	1.392393e+00	1.118967e-04	1.378125e-04	-2.591575e-05
2.7           	2.099537e-05	1.323075e+00	4.886591e-05	4.542832e-05	3.437587e-06
3             	2.097313e-05	1.255800e+00	-1.941445e-04	-7.609914e-05	-1.180454e-04
3.3           	1.182010e-04	1.182482e+00	2.585291e-04	2.474656e-04	1.106349e-05
3.6           	3.477662e-05	1.113051e+00	-1.239334e-04	-2.719006e-05	-9.674330e-05
3.9           	6.950592e-05	1.025854e+00	1.833389e-04	1.611754e-04	2.216352e-05
4.2           	2.503528e-05	9.617754e-01	-1.877467e-05	1.564794e-05	-3.442261e-05
4.5           	-2.648825e-04	9.211608e-01	-3.232282e-04	-4.264966e-04	1.032684e-04
4.8           	-3.395167e-06	8.896236e-01	-1.486692e-04	-7.772975e-05	-7.093941e-05
5.1           	-9.206942e-05	8.781849e-01	7.173373e-04	2.665992e-04	4.507380e-04
5.4           	-2.732686e-05	8.853080e-01	-1.885394e-04	-1.215966e-04	-6.694283e-05
5.7           	4.349818e-05	9.117083e-01	-3.166270e-04	-1.148153e-04	-2.018117e-04
6             	5.433792e-05	9.590829e-01	-2.991276e-04	-9.522588e-05	-2.039017e-04
6.3           	1.080802e-04	9.744935e-01	2.310196e-04	2.235900e-04	7.429590e-06
6.6           	9.256126e-05	9.567406e-01	-1.658697e-04	9.626433e-06	-1.754961e-04
6.9           	3.893685e-04	9.012425e-01	-3.486509e-04	2.150431e-04	-5.636940e-04
7.2           	4.966828e-04	8.763728e-01	-3.059802e-04	3.436927e-04	-6.496729e-04
7.5           	9.506283e-04	8.880810e-01	4.145273e-04	1.157892e-03	-7.433646e-04
7.8           	7.612206e-05	9.073212e-01	-2.746109e-04	-6.118338e-05	-2.134275e-04
8.1           	4.658842e-03	9.119480e-01	5.111520e-03	7.214602e-03	-2.103082e-03
8.4           	-2.612158e-04	8.941019e-01	-1.083954e-03	-8.031927e-04	-2.807611e-04
8.7           	-1.412426e-03	8.660548e-01	-2.126490e-03	-2.475671e-03	3.491812e-04
9             	7.130262e-04	8.323542e-01	-1.089168e-04	6.585678e-04	-7.674846e-04
9.3           	5.506509e-04	8.167848e-01	2.441025e-03	1.771163e-03	6.698617e-04
9.6           	-7.313821e-04	8.596625e-01	-4.417787e-04	-9.522714e-04	5.104927e-04
9.9           	-1.654041e-03	1.003041e+00	-9.457757e-04	-2.126929e-03	1.181153e-03
10.2          	-2.395125e-03	1.136198e+00	1.228015e-04	-2.333725e-03	2.456526e-03
10.5          	-8.527754e-05	1.088371e+00	1.972143e-03	9.007942e-04	1.071349e-03
10.8          	-1.987376e-04	8.709052e-01	1.218384e-04	-1.378184e-04	2.596568e-04
11.1          	-5.888095e-04	7.184446e-01	-1.167328e-03	-1.172474e-03	5.145466e-06
11.4          	-4.969817e-04	7.095180e-01	-1.138690e-03	-1.066327e-03	-7.236337e-05
11.7          	4.251568e-04	7.387024e-01	-1.435714e-04	3.533712e-04	-4.969425e-04
12            	7.111651e-04	7.552489e-01	1.551275e-03	1.486803e-03	6.447237e-05
