# y+ ()       
# Time        	patch         	min           	max           	average       
0             	bodyWall	0.000000e+00	0.000000e+00	0.000000e+00
0.3           	bodyWall	1.307406e-01	6.022226e+00	2.178251e+00
0.6           	bodyWall	1.284893e-01	5.553123e+00	1.798627e+00
0.9           	bodyWall	1.624739e-01	5.022101e+00	1.597720e+00
1.2           	bodyWall	1.590124e-01	4.600174e+00	1.477126e+00
1.5           	bodyWall	7.866163e-02	4.373927e+00	1.395368e+00
1.8           	bodyWall	1.553196e-01	4.119538e+00	1.338993e+00
2.1           	bodyWall	1.541664e-01	3.893823e+00	1.278999e+00
2.4           	bodyWall	1.532931e-01	3.764907e+00	1.249842e+00
2.7           	bodyWall	1.003006e-01	3.637886e+00	1.226959e+00
3             	bodyWall	6.903942e-02	3.507246e+00	1.255792e+00
3.3           	bodyWall	8.907456e-02	3.536626e+00	1.316815e+00
3.6           	bodyWall	5.455815e-02	3.844885e+00	1.481103e+00
3.9           	bodyWall	6.879293e-02	5.010415e+00	1.686081e+00
4.2           	bodyWall	5.884580e-02	5.430754e+00	1.751190e+00
4.5           	bodyWall	1.151607e-01	5.521084e+00	1.750443e+00
4.8           	bodyWall	5.697127e-02	5.366495e+00	1.714090e+00
5.1           	bodyWall	5.159674e-02	4.929894e+00	1.638094e+00
5.4           	bodyWall	8.657571e-02	4.026821e+00	1.506228e+00
5.7           	bodyWall	1.022929e-01	3.606559e+00	1.285697e+00
6             	bodyWall	4.650751e-02	3.434004e+00	1.164055e+00
6.3           	bodyWall	2.661141e-02	3.300831e+00	1.109058e+00
6.6           	bodyWall	3.642116e-02	3.280371e+00	1.086848e+00
6.9           	bodyWall	7.029968e-02	3.232948e+00	1.093762e+00
7.2           	bodyWall	8.922733e-02	3.216992e+00	1.105599e+00
7.5           	bodyWall	1.293111e-01	3.195347e+00	1.107924e+00
7.8           	bodyWall	1.329107e-01	3.156569e+00	1.120669e+00
8.1           	bodyWall	1.118381e-01	3.120370e+00	1.098360e+00
8.4           	bodyWall	1.277141e-01	3.104046e+00	1.079052e+00
8.7           	bodyWall	1.386398e-01	3.102197e+00	1.053379e+00
9             	bodyWall	1.388356e-01	3.111398e+00	1.032174e+00
9.3           	bodyWall	1.241308e-01	3.127737e+00	1.097901e+00
9.6           	bodyWall	1.448374e-01	3.615275e+00	1.261067e+00
9.9           	bodyWall	4.588501e-02	5.026336e+00	1.508063e+00
10.2          	bodyWall	1.454558e-01	4.103263e+00	1.365490e+00
10.5          	bodyWall	1.466873e-01	5.397477e+00	1.741810e+00
10.8          	bodyWall	9.371379e-02	5.514252e+00	1.760231e+00
11.1          	bodyWall	1.356670e-01	5.223401e+00	1.712887e+00
11.4          	bodyWall	1.398298e-01	4.369252e+00	1.565773e+00
11.7          	bodyWall	1.478252e-01	3.512055e+00	1.317911e+00
12            	bodyWall	1.179902e-01	3.314688e+00	1.142489e+00
12.3          	bodyWall	1.045408e-01	3.194732e+00	1.100179e+00
12.6          	bodyWall	1.459954e-01	3.144865e+00	1.115967e+00
12.9          	bodyWall	1.353059e-01	3.107835e+00	1.086887e+00
13.2          	bodyWall	1.452662e-01	3.059057e+00	1.073151e+00
13.5          	bodyWall	1.161387e-01	3.028836e+00	1.069068e+00
13.8          	bodyWall	7.917828e-02	3.035955e+00	1.058455e+00
14.1          	bodyWall	1.449028e-01	3.073115e+00	1.041239e+00
14.4          	bodyWall	1.327988e-01	3.123349e+00	1.017371e+00
14.7          	bodyWall	7.833393e-02	3.177276e+00	1.017143e+00
15            	bodyWall	6.436982e-02	3.220622e+00	1.104861e+00
15.3          	bodyWall	5.836701e-02	3.265151e+00	1.215487e+00
15.6          	bodyWall	1.156885e-01	3.352294e+00	1.229313e+00
15.9          	bodyWall	1.447275e-01	4.659239e+00	1.551358e+00
16.2          	bodyWall	1.449064e-01	5.083044e+00	1.670475e+00
16.5          	bodyWall	1.451216e-01	5.116588e+00	1.681761e+00
16.8          	bodyWall	6.267106e-02	4.879100e+00	1.631609e+00
17.1          	bodyWall	1.323591e-01	4.293402e+00	1.540221e+00
17.4          	bodyWall	1.441129e-01	3.467469e+00	1.380090e+00
17.7          	bodyWall	1.426675e-01	3.377678e+00	1.238311e+00
18            	bodyWall	8.886585e-02	3.257908e+00	1.079916e+00
18.3          	bodyWall	9.942705e-02	3.207997e+00	1.064421e+00
18.6          	bodyWall	1.442934e-01	3.175880e+00	1.053547e+00
18.9          	bodyWall	1.458288e-01	3.147615e+00	1.044365e+00
19.2          	bodyWall	9.884926e-02	3.105894e+00	1.012330e+00
19.5          	bodyWall	6.497928e-02	3.066963e+00	1.005332e+00
19.8          	bodyWall	6.064305e-02	3.047651e+00	9.990134e-01
20.1          	bodyWall	1.205236e-01	3.058879e+00	9.809040e-01
20.4          	bodyWall	5.360734e-02	3.096222e+00	9.731152e-01
20.7          	bodyWall	1.304303e-01	3.155224e+00	9.973364e-01
21            	bodyWall	7.208347e-02	3.218941e+00	1.073041e+00
21.3          	bodyWall	6.557100e-02	3.289891e+00	1.189440e+00
21.6          	bodyWall	1.014462e-01	3.387206e+00	1.248033e+00
21.9          	bodyWall	1.236160e-01	4.831235e+00	1.573410e+00
22.2          	bodyWall	1.344277e-01	5.400229e+00	1.723541e+00
22.5          	bodyWall	1.328681e-01	5.581974e+00	1.751961e+00
22.8          	bodyWall	9.040532e-02	5.465372e+00	1.702815e+00
23.1          	bodyWall	8.674178e-02	4.955421e+00	1.633935e+00
23.4          	bodyWall	1.327802e-01	3.770560e+00	1.465104e+00
23.7          	bodyWall	1.367566e-01	3.378949e+00	1.252378e+00
24            	bodyWall	1.441258e-01	3.171785e+00	1.057119e+00
24.3          	bodyWall	5.729695e-02	3.092595e+00	1.056049e+00
24.6          	bodyWall	1.134665e-01	3.092437e+00	1.069884e+00
24.9          	bodyWall	1.103966e-01	3.103401e+00	1.069794e+00
25.2          	bodyWall	5.792691e-02	3.081804e+00	1.067561e+00
25.5          	bodyWall	5.560352e-02	3.041301e+00	1.067224e+00
25.8          	bodyWall	3.215518e-02	3.005857e+00	1.009107e+00
26.1          	bodyWall	6.319592e-02	2.991504e+00	9.604473e-01
26.4          	bodyWall	3.426506e-02	3.009822e+00	9.573160e-01
26.7          	bodyWall	6.061574e-02	3.065192e+00	9.995060e-01
27            	bodyWall	6.840186e-02	3.132999e+00	1.073415e+00
27.3          	bodyWall	7.595990e-02	3.463002e+00	1.168873e+00
27.6          	bodyWall	7.404042e-02	3.670665e+00	1.245515e+00
27.9          	bodyWall	9.123312e-02	4.946710e+00	1.579082e+00
28.2          	bodyWall	7.973011e-02	5.237516e+00	1.647654e+00
28.5          	bodyWall	1.294712e-01	5.142345e+00	1.639822e+00
28.8          	bodyWall	1.226535e-01	4.778690e+00	1.586806e+00
29.1          	bodyWall	1.182568e-01	3.939566e+00	1.473613e+00
29.4          	bodyWall	1.109023e-01	3.393961e+00	1.249967e+00
29.7          	bodyWall	3.694134e-02	3.244478e+00	1.122380e+00
30            	bodyWall	9.819240e-02	3.128826e+00	9.969957e-01
30.3          	bodyWall	8.865627e-02	3.068355e+00	9.750505e-01
30.6          	bodyWall	1.066233e-01	3.028007e+00	9.815535e-01
30.9          	bodyWall	7.189402e-02	2.997141e+00	9.811852e-01
31.2          	bodyWall	7.848970e-02	2.961985e+00	9.826688e-01
31.5          	bodyWall	7.298541e-02	2.953172e+00	9.853681e-01
31.8          	bodyWall	1.957585e-02	2.960084e+00	9.856364e-01
32.1          	bodyWall	5.843258e-02	2.967521e+00	9.788401e-01
32.4          	bodyWall	1.054923e-01	3.014095e+00	9.746672e-01
32.7          	bodyWall	5.012666e-02	3.069312e+00	9.822237e-01
33            	bodyWall	7.447488e-02	3.116705e+00	1.040088e+00
33.3          	bodyWall	6.563071e-02	3.174706e+00	1.135407e+00
33.6          	bodyWall	3.535789e-02	4.582160e+00	1.239799e+00
33.9          	bodyWall	5.696615e-02	4.775948e+00	1.409495e+00
34.2          	bodyWall	8.912807e-02	5.322031e+00	1.620778e+00
34.5          	bodyWall	5.178844e-02	5.389384e+00	1.675958e+00
34.8          	bodyWall	1.680781e-02	5.134207e+00	1.683699e+00
35.1          	bodyWall	8.300689e-02	4.503037e+00	1.580581e+00
35.4          	bodyWall	5.230670e-02	3.423886e+00	1.357731e+00
35.7          	bodyWall	4.853040e-02	3.297348e+00	1.190835e+00
36            	bodyWall	7.592098e-02	3.164244e+00	1.072043e+00
36.3          	bodyWall	3.618175e-02	3.121413e+00	1.061985e+00
36.6          	bodyWall	9.939701e-02	3.106583e+00	1.042086e+00
36.9          	bodyWall	8.241254e-02	3.078000e+00	1.025422e+00
37.2          	bodyWall	6.118044e-02	3.056240e+00	1.001737e+00
37.5          	bodyWall	8.728487e-02	3.053816e+00	9.832316e-01
37.8          	bodyWall	3.035768e-02	3.063052e+00	9.572555e-01
38.1          	bodyWall	8.220524e-02	3.086270e+00	9.406801e-01
38.4          	bodyWall	4.772135e-02	3.118525e+00	9.557378e-01
38.7          	bodyWall	5.153109e-02	3.146311e+00	1.018313e+00
39            	bodyWall	4.146267e-02	3.172164e+00	1.097235e+00
39.3          	bodyWall	8.449843e-02	3.776766e+00	1.163279e+00
39.6          	bodyWall	7.381508e-02	4.950083e+00	1.415149e+00
39.9          	bodyWall	3.157168e-02	4.934412e+00	1.435948e+00
40.2          	bodyWall	1.207155e-01	5.095339e+00	1.612752e+00
40.5          	bodyWall	9.912961e-02	4.954019e+00	1.598528e+00
40.8          	bodyWall	9.650713e-02	4.579415e+00	1.531067e+00
41.1          	bodyWall	1.019191e-01	3.738709e+00	1.420535e+00
41.4          	bodyWall	7.618299e-02	3.388357e+00	1.221191e+00
41.7          	bodyWall	9.615334e-02	3.246907e+00	1.079153e+00
42            	bodyWall	7.479587e-02	3.154947e+00	9.877621e-01
42.3          	bodyWall	6.156911e-02	3.107995e+00	9.927811e-01
42.6          	bodyWall	8.580775e-02	3.071187e+00	9.908147e-01
42.9          	bodyWall	8.320667e-02	3.022797e+00	9.843588e-01
43.2          	bodyWall	7.028529e-02	2.997293e+00	9.820058e-01
43.5          	bodyWall	6.323448e-02	2.982981e+00	9.786385e-01
43.8          	bodyWall	4.455924e-02	2.995479e+00	9.684282e-01
44.1          	bodyWall	1.947994e-02	3.028286e+00	9.552999e-01
44.4          	bodyWall	3.954120e-02	3.062712e+00	9.331081e-01
44.7          	bodyWall	5.027050e-02	3.091456e+00	9.544710e-01
45            	bodyWall	2.513461e-02	3.123675e+00	1.036202e+00
45.3          	bodyWall	7.891949e-02	3.532442e+00	1.154690e+00
45.6          	bodyWall	5.559749e-02	5.508155e+00	1.365275e+00
45.9          	bodyWall	5.996825e-02	7.134718e+00	1.633679e+00
46.2          	bodyWall	5.796292e-02	5.906318e+00	1.580242e+00
46.5          	bodyWall	5.677712e-02	5.368982e+00	1.661045e+00
46.8          	bodyWall	7.795802e-02	5.080449e+00	1.639684e+00
47.1          	bodyWall	6.843108e-02	4.377861e+00	1.512508e+00
47.4          	bodyWall	2.297673e-02	3.467922e+00	1.279905e+00
47.7          	bodyWall	4.272636e-02	3.344756e+00	1.090959e+00
48            	bodyWall	4.009714e-02	3.206665e+00	1.000396e+00
48.3          	bodyWall	2.717282e-02	3.134396e+00	9.957043e-01
48.6          	bodyWall	2.354317e-02	3.227118e+00	9.870405e-01
48.9          	bodyWall	1.833086e-02	3.167001e+00	9.828663e-01
49.2          	bodyWall	4.729182e-02	3.090933e+00	9.838030e-01
49.5          	bodyWall	7.686595e-02	3.061118e+00	9.765043e-01
49.8          	bodyWall	7.122095e-02	3.076440e+00	9.708106e-01
50.1          	bodyWall	6.430501e-02	3.086128e+00	9.601421e-01
50.4          	bodyWall	6.370069e-02	3.088934e+00	9.543465e-01
50.7          	bodyWall	4.258374e-02	3.105564e+00	1.028517e+00
51            	bodyWall	2.847412e-02	3.156147e+00	1.173848e+00
51.3          	bodyWall	4.719060e-02	4.050509e+00	1.260603e+00
51.6          	bodyWall	3.007944e-02	3.836753e+00	1.220792e+00
51.9          	bodyWall	6.117160e-02	5.013935e+00	1.600653e+00
52.2          	bodyWall	9.726371e-02	5.294217e+00	1.667030e+00
52.5          	bodyWall	1.142261e-01	5.157867e+00	1.635409e+00
52.8          	bodyWall	1.046386e-01	4.621698e+00	1.513348e+00
53.1          	bodyWall	8.708394e-02	3.594166e+00	1.321259e+00
53.4          	bodyWall	5.908577e-02	3.447901e+00	1.164956e+00
53.7          	bodyWall	3.303652e-02	3.280841e+00	1.003311e+00
54            	bodyWall	2.474061e-02	3.186491e+00	9.836844e-01
54.3          	bodyWall	2.715827e-02	3.178942e+00	9.780137e-01
54.6          	bodyWall	5.951452e-02	3.162326e+00	9.707329e-01
54.9          	bodyWall	4.229653e-02	3.083243e+00	9.735661e-01
55.2          	bodyWall	6.980858e-02	3.088294e+00	9.571145e-01
55.5          	bodyWall	6.162450e-02	3.080342e+00	9.421335e-01
55.8          	bodyWall	2.781733e-02	3.069773e+00	9.358827e-01
56.1          	bodyWall	2.834320e-02	3.067206e+00	9.244943e-01
56.4          	bodyWall	3.732897e-02	3.067342e+00	9.426885e-01
56.7          	bodyWall	3.972133e-02	3.083921e+00	1.015475e+00
57            	bodyWall	3.915155e-02	3.125865e+00	1.105736e+00
57.3          	bodyWall	6.136211e-02	3.952662e+00	1.199630e+00
57.6          	bodyWall	5.816614e-02	5.049601e+00	1.295951e+00
57.9          	bodyWall	5.959238e-02	5.379687e+00	1.447806e+00
58.2          	bodyWall	6.293696e-02	5.643982e+00	1.658163e+00
58.5          	bodyWall	4.966092e-02	5.510393e+00	1.662843e+00
58.8          	bodyWall	6.577940e-02	4.968974e+00	1.581517e+00
59.1          	bodyWall	6.886915e-02	3.840162e+00	1.422483e+00
59.4          	bodyWall	3.120341e-02	3.402337e+00	1.186831e+00
59.7          	bodyWall	8.289713e-02	3.236620e+00	1.042260e+00
60            	bodyWall	4.502672e-02	3.150936e+00	1.029698e+00
60.3          	bodyWall	7.229853e-02	3.108861e+00	1.044101e+00
60.6          	bodyWall	7.979568e-02	3.061162e+00	1.054454e+00
60.9          	bodyWall	8.166844e-02	3.031714e+00	1.045693e+00
61.2          	bodyWall	8.513230e-02	3.025285e+00	1.048646e+00
61.5          	bodyWall	4.199634e-02	3.032685e+00	1.058323e+00
61.8          	bodyWall	6.248369e-02	3.056807e+00	1.051764e+00
62.1          	bodyWall	3.476291e-02	3.093056e+00	1.043813e+00
