# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 4.000000e-01
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (5.000000e-01 0.000000e+00 5.000000e-02)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.3           	8.938605e-06	1.404202e+00	-7.888944e-05	-3.050612e-05	-4.838333e-05
0.6           	1.228090e-05	1.463836e+00	-5.939726e-05	-1.741773e-05	-4.197953e-05
0.9           	3.032840e-05	1.519602e+00	-1.859826e-04	-6.266292e-05	-1.233197e-04
1.2           	1.631547e-05	1.531945e+00	1.422059e-04	8.741844e-05	5.478750e-05
1.5           	8.499817e-06	1.507855e+00	-2.435992e-05	-3.680145e-06	-2.067978e-05
1.8           	-1.152899e-05	1.468388e+00	-2.892435e-05	-2.599116e-05	-2.933187e-06
2.1           	1.202841e-05	1.415498e+00	-4.020538e-05	-8.074281e-06	-3.213110e-05
2.4           	1.587784e-05	1.363557e+00	2.972130e-05	3.073850e-05	-1.017195e-06
2.7           	-1.195786e-05	1.315603e+00	-4.426839e-05	-3.409206e-05	-1.017633e-05
3             	1.348681e-04	1.269468e+00	1.994491e-04	2.345927e-04	-3.514355e-05
3.3           	1.074827e-04	1.225158e+00	8.931563e-05	1.521405e-04	-6.282486e-05
3.6           	1.799150e-05	1.183361e+00	5.005137e-06	2.049406e-05	-1.548893e-05
3.9           	-9.263830e-06	1.149368e+00	-1.013638e-05	-1.433202e-05	4.195641e-06
4.2           	2.030565e-05	1.119452e+00	1.165688e-05	2.613410e-05	-1.447721e-05
4.5           	2.795953e-05	1.092238e+00	3.386347e-06	2.965270e-05	-2.626636e-05
4.8           	4.002131e-05	1.064235e+00	5.260734e-05	6.632498e-05	-1.371764e-05
5.1           	1.493202e-04	1.039034e+00	7.588982e-05	1.872651e-04	-1.113753e-04
5.4           	3.051862e-05	1.013907e+00	9.316420e-05	7.710072e-05	1.606348e-05
5.7           	3.386053e-06	9.934748e-01	3.574293e-05	2.125752e-05	1.448541e-05
6             	-1.061311e-05	9.777391e-01	-1.820881e-04	-1.016571e-04	-8.043092e-05
6.3           	2.351655e-05	9.640581e-01	7.532132e-05	6.117721e-05	1.414411e-05
6.6           	-3.390807e-04	9.519562e-01	-4.729704e-04	-5.755660e-04	1.025955e-04
6.9           	2.438297e-06	9.416803e-01	1.608492e-06	3.242543e-06	-1.634051e-06
7.2           	-9.599588e-06	9.312514e-01	6.670085e-07	-9.266083e-06	9.933092e-06
7.5           	6.308134e-06	9.241962e-01	3.036821e-06	7.826545e-06	-4.789723e-06
7.8           	7.830781e-06	9.172205e-01	2.400852e-05	1.983504e-05	4.173479e-06
8.1           	-1.426018e-05	9.107244e-01	9.272218e-06	-9.624072e-06	1.889629e-05
