# y+ ()       
# Time        	patch         	min           	max           	average       
0             	bodyWall	0.000000e+00	0.000000e+00	0.000000e+00
0             	actuatorSlot_top	0.000000e+00	0.000000e+00	0.000000e+00
0             	actuatorSlot_bottom	0.000000e+00	0.000000e+00	0.000000e+00
0.3           	bodyWall	1.307250e-01	6.021972e+00	2.295916e+00
0.3           	actuatorSlot_top	4.434621e+00	4.476306e+00	4.449845e+00
0.3           	actuatorSlot_bottom	4.435227e+00	4.476773e+00	4.450372e+00
0.6           	bodyWall	1.284755e-01	5.360638e+00	1.973099e+00
0.6           	actuatorSlot_top	3.380735e+00	3.609194e+00	3.473953e+00
0.6           	actuatorSlot_bottom	3.381632e+00	3.609741e+00	3.474744e+00
0.9           	bodyWall	1.633975e-01	4.933987e+00	1.752476e+00
0.9           	actuatorSlot_top	2.393308e+00	2.802400e+00	2.577715e+00
0.9           	actuatorSlot_bottom	2.394480e+00	2.802991e+00	2.578668e+00
1.2           	bodyWall	1.601604e-01	4.602750e+00	1.610630e+00
1.2           	actuatorSlot_top	1.611709e+00	2.162148e+00	1.868868e+00
1.2           	actuatorSlot_bottom	1.613353e+00	2.162961e+00	1.870165e+00
1.5           	bodyWall	1.580819e-01	4.362644e+00	1.514268e+00
1.5           	actuatorSlot_top	9.982711e-01	1.679048e+00	1.324944e+00
1.5           	actuatorSlot_bottom	9.998542e-01	1.679745e+00	1.326145e+00
1.8           	bodyWall	1.565686e-01	4.072132e+00	1.440483e+00
1.8           	actuatorSlot_top	6.139256e-01	1.312091e+00	9.236073e-01
1.8           	actuatorSlot_bottom	6.142212e-01	1.312846e+00	9.245920e-01
2.1           	bodyWall	1.553291e-01	3.979805e+00	1.376548e+00
2.1           	actuatorSlot_top	6.276221e-01	1.017306e+00	7.501007e-01
2.1           	actuatorSlot_bottom	6.279353e-01	1.018045e+00	7.502956e-01
2.4           	bodyWall	1.542712e-01	3.757668e+00	1.329669e+00
2.4           	actuatorSlot_top	6.277541e-01	8.391970e-01	7.280757e-01
2.4           	actuatorSlot_bottom	6.280079e-01	8.386033e-01	7.279897e-01
2.7           	bodyWall	1.532718e-01	3.648693e+00	1.291486e+00
2.7           	actuatorSlot_top	6.305399e-01	8.878508e-01	7.436546e-01
2.7           	actuatorSlot_bottom	6.305669e-01	8.873570e-01	7.434244e-01
3             	bodyWall	1.523158e-01	3.570287e+00	1.255137e+00
3             	actuatorSlot_top	6.319197e-01	9.119604e-01	7.709450e-01
3             	actuatorSlot_bottom	6.320899e-01	9.116325e-01	7.706941e-01
3.3           	bodyWall	9.031666e-02	3.483300e+00	1.223639e+00
3.3           	actuatorSlot_top	6.335292e-01	9.092533e-01	7.809838e-01
3.3           	actuatorSlot_bottom	6.335298e-01	9.090360e-01	7.807789e-01
3.6           	bodyWall	5.331560e-02	3.448742e+00	1.197703e+00
3.6           	actuatorSlot_top	6.374775e-01	8.986753e-01	7.817530e-01
3.6           	actuatorSlot_bottom	6.374321e-01	8.985174e-01	7.815813e-01
3.9           	bodyWall	7.181881e-02	3.416904e+00	1.169427e+00
3.9           	actuatorSlot_top	6.399992e-01	8.901964e-01	7.831292e-01
3.9           	actuatorSlot_bottom	6.399194e-01	8.900558e-01	7.829615e-01
4.2           	bodyWall	5.598791e-02	3.384371e+00	1.148575e+00
4.2           	actuatorSlot_top	6.456057e-01	8.797444e-01	7.848553e-01
4.2           	actuatorSlot_bottom	6.455018e-01	8.796317e-01	7.847045e-01
4.5           	bodyWall	1.151969e-01	3.354088e+00	1.134438e+00
4.5           	actuatorSlot_top	6.508521e-01	8.638491e-01	7.815890e-01
4.5           	actuatorSlot_bottom	6.507386e-01	8.637675e-01	7.814645e-01
4.8           	bodyWall	5.958993e-02	3.327139e+00	1.121388e+00
4.8           	actuatorSlot_top	6.536850e-01	8.463771e-01	7.749857e-01
4.8           	actuatorSlot_bottom	6.535793e-01	8.463181e-01	7.748859e-01
5.1           	bodyWall	4.842007e-02	3.303974e+00	1.105719e+00
5.1           	actuatorSlot_top	6.540119e-01	8.300543e-01	7.669445e-01
5.1           	actuatorSlot_bottom	6.539199e-01	8.300125e-01	7.668662e-01
5.4           	bodyWall	8.411278e-02	3.285471e+00	1.100876e+00
5.4           	actuatorSlot_top	6.515167e-01	8.149386e-01	7.576285e-01
5.4           	actuatorSlot_bottom	6.514327e-01	8.149070e-01	7.575632e-01
5.7           	bodyWall	9.929901e-02	3.269856e+00	1.078333e+00
5.7           	actuatorSlot_top	6.498323e-01	8.042885e-01	7.509284e-01
5.7           	actuatorSlot_bottom	6.497629e-01	8.042651e-01	7.508761e-01
6             	bodyWall	4.913210e-02	3.253893e+00	1.078441e+00
6             	actuatorSlot_top	6.490927e-01	7.947243e-01	7.450799e-01
6             	actuatorSlot_bottom	6.490317e-01	7.947113e-01	7.450385e-01
6.3           	bodyWall	2.024470e-02	3.237241e+00	1.055457e+00
6.3           	actuatorSlot_top	6.476896e-01	7.847657e-01	7.382814e-01
6.3           	actuatorSlot_bottom	6.476358e-01	7.847547e-01	7.382459e-01
6.6           	bodyWall	3.495523e-02	3.221441e+00	1.057831e+00
6.6           	actuatorSlot_top	6.447180e-01	7.744385e-01	7.301286e-01
6.6           	actuatorSlot_bottom	6.446710e-01	7.744265e-01	7.300968e-01
6.9           	bodyWall	7.937574e-02	3.207478e+00	1.048215e+00
6.9           	actuatorSlot_top	6.401552e-01	7.660975e-01	7.222028e-01
6.9           	actuatorSlot_bottom	6.401098e-01	7.660814e-01	7.221703e-01
7.2           	bodyWall	6.528374e-02	3.195533e+00	1.052258e+00
7.2           	actuatorSlot_top	6.347899e-01	7.592799e-01	7.147626e-01
7.2           	actuatorSlot_bottom	6.347479e-01	7.592657e-01	7.147340e-01
7.5           	bodyWall	1.165226e-01	3.185065e+00	1.045433e+00
7.5           	actuatorSlot_top	6.298806e-01	7.545114e-01	7.087329e-01
7.5           	actuatorSlot_bottom	6.298437e-01	7.544999e-01	7.087088e-01
7.8           	bodyWall	1.225264e-01	3.175528e+00	1.040069e+00
7.8           	actuatorSlot_top	6.255031e-01	7.511470e-01	7.037414e-01
7.8           	actuatorSlot_bottom	6.254697e-01	7.511358e-01	7.037194e-01
8.1           	bodyWall	1.164991e-01	3.166855e+00	1.044684e+00
8.1           	actuatorSlot_top	6.211701e-01	7.481931e-01	6.990720e-01
8.1           	actuatorSlot_bottom	6.211392e-01	7.481825e-01	6.990522e-01
8.4           	bodyWall	4.939305e-02	3.158093e+00	1.029531e+00
8.4           	actuatorSlot_top	6.187554e-01	7.477405e-01	6.965918e-01
8.4           	actuatorSlot_bottom	6.187167e-01	7.477175e-01	6.965638e-01
8.7           	bodyWall	1.119855e-01	3.148712e+00	1.037328e+00
8.7           	actuatorSlot_top	6.162987e-01	7.479173e-01	6.941450e-01
8.7           	actuatorSlot_bottom	6.162666e-01	7.478980e-01	6.941245e-01
9             	bodyWall	1.091733e-01	3.139409e+00	1.033739e+00
9             	actuatorSlot_top	6.131358e-01	7.481967e-01	6.913146e-01
9             	actuatorSlot_bottom	6.131156e-01	7.481886e-01	6.913059e-01
9.3           	bodyWall	5.803440e-02	3.130661e+00	1.028259e+00
9.3           	actuatorSlot_top	6.094311e-01	7.485058e-01	6.883194e-01
9.3           	actuatorSlot_bottom	6.094203e-01	7.485092e-01	6.883189e-01
9.6           	bodyWall	6.611211e-02	3.122800e+00	1.032459e+00
9.6           	actuatorSlot_top	6.055845e-01	7.487311e-01	6.854470e-01
9.6           	actuatorSlot_bottom	6.055750e-01	7.487406e-01	6.854474e-01
9.9           	bodyWall	6.043706e-02	3.115704e+00	1.026781e+00
9.9           	actuatorSlot_top	6.022739e-01	7.496228e-01	6.833737e-01
9.9           	actuatorSlot_bottom	6.022554e-01	7.496252e-01	6.833645e-01
10.2          	bodyWall	8.418132e-02	3.108919e+00	1.021721e+00
10.2          	actuatorSlot_top	5.994733e-01	7.513148e-01	6.820012e-01
10.2          	actuatorSlot_bottom	5.994465e-01	7.513069e-01	6.819832e-01
10.5          	bodyWall	1.087150e-01	3.102468e+00	1.021585e+00
10.5          	actuatorSlot_top	5.966510e-01	7.531177e-01	6.807082e-01
10.5          	actuatorSlot_bottom	5.966232e-01	7.531036e-01	6.806881e-01
10.8          	bodyWall	9.900495e-02	3.096563e+00	1.022756e+00
10.8          	actuatorSlot_top	5.937072e-01	7.546545e-01	6.793160e-01
10.8          	actuatorSlot_bottom	5.936841e-01	7.546398e-01	6.792991e-01
11.1          	bodyWall	1.031664e-01	3.091526e+00	1.015051e+00
11.1          	actuatorSlot_top	5.906025e-01	7.552359e-01	6.775463e-01
11.1          	actuatorSlot_bottom	5.905888e-01	7.552301e-01	6.775387e-01
11.4          	bodyWall	1.082497e-01	3.087655e+00	1.009442e+00
11.4          	actuatorSlot_top	5.872973e-01	7.547964e-01	6.753333e-01
11.4          	actuatorSlot_bottom	5.872924e-01	7.548039e-01	6.753355e-01
11.7          	bodyWall	9.615013e-02	3.084816e+00	1.009288e+00
11.7          	actuatorSlot_top	5.848144e-01	7.541474e-01	6.736476e-01
11.7          	actuatorSlot_bottom	5.848050e-01	7.541510e-01	6.736442e-01
12            	bodyWall	3.967196e-02	3.081970e+00	1.004817e+00
12            	actuatorSlot_top	5.839425e-01	7.552007e-01	6.736473e-01
12            	actuatorSlot_bottom	5.839147e-01	7.551799e-01	6.736225e-01
12.3          	bodyWall	7.446161e-02	3.078008e+00	9.975165e-01
12.3          	actuatorSlot_top	5.844415e-01	7.589477e-01	6.754771e-01
12.3          	actuatorSlot_bottom	5.844157e-01	7.589184e-01	6.754520e-01
12.6          	bodyWall	7.194240e-02	3.072763e+00	9.947305e-01
12.6          	actuatorSlot_top	5.846137e-01	7.639374e-01	6.774832e-01
12.6          	actuatorSlot_bottom	5.845912e-01	7.638999e-01	6.774578e-01
12.9          	bodyWall	9.886325e-02	3.066949e+00	9.952402e-01
12.9          	actuatorSlot_top	5.839074e-01	7.687988e-01	6.789218e-01
12.9          	actuatorSlot_bottom	5.838910e-01	7.687616e-01	6.789001e-01
13.2          	bodyWall	4.518597e-02	3.061197e+00	9.934854e-01
13.2          	actuatorSlot_top	5.825295e-01	7.731061e-01	6.798218e-01
13.2          	actuatorSlot_bottom	5.825245e-01	7.730823e-01	6.798118e-01
13.5          	bodyWall	3.927354e-02	3.056090e+00	9.870693e-01
13.5          	actuatorSlot_top	5.803773e-01	7.759342e-01	6.797517e-01
13.5          	actuatorSlot_bottom	5.803824e-01	7.759313e-01	6.797557e-01
13.8          	bodyWall	5.676444e-02	3.052273e+00	9.779431e-01
13.8          	actuatorSlot_top	5.774705e-01	7.763874e-01	6.783277e-01
13.8          	actuatorSlot_bottom	5.774806e-01	7.764057e-01	6.783428e-01
14.1          	bodyWall	5.559063e-02	3.050035e+00	9.819850e-01
14.1          	actuatorSlot_top	5.743743e-01	7.747439e-01	6.759476e-01
14.1          	actuatorSlot_bottom	5.743797e-01	7.747711e-01	6.759632e-01
14.4          	bodyWall	7.424822e-02	3.048917e+00	9.769897e-01
14.4          	actuatorSlot_top	5.723769e-01	7.729042e-01	6.741444e-01
14.4          	actuatorSlot_bottom	5.723676e-01	7.729188e-01	6.741455e-01
14.7          	bodyWall	8.839454e-02	3.047733e+00	9.756754e-01
14.7          	actuatorSlot_top	5.721359e-01	7.729682e-01	6.741721e-01
14.7          	actuatorSlot_bottom	5.721147e-01	7.729605e-01	6.741572e-01
15            	bodyWall	4.131600e-02	3.045563e+00	9.679533e-01
15            	actuatorSlot_top	5.727532e-01	7.751595e-01	6.755692e-01
15            	actuatorSlot_bottom	5.727277e-01	7.751309e-01	6.755434e-01
15.3          	bodyWall	5.325165e-02	3.042322e+00	9.682075e-01
15.3          	actuatorSlot_top	5.732795e-01	7.785483e-01	6.774105e-01
15.3          	actuatorSlot_bottom	5.732562e-01	7.785093e-01	6.773816e-01
15.6          	bodyWall	5.614395e-02	3.038411e+00	9.655917e-01
15.6          	actuatorSlot_top	5.729696e-01	7.818892e-01	6.787657e-01
15.6          	actuatorSlot_bottom	5.729605e-01	7.818611e-01	6.787498e-01
15.9          	bodyWall	6.564004e-02	3.034645e+00	9.625701e-01
15.9          	actuatorSlot_top	5.717620e-01	7.841183e-01	6.791710e-01
15.9          	actuatorSlot_bottom	5.717616e-01	7.841048e-01	6.791659e-01
16.2          	bodyWall	4.299071e-02	3.031311e+00	9.563544e-01
16.2          	actuatorSlot_top	5.703154e-01	7.855337e-01	6.791150e-01
16.2          	actuatorSlot_bottom	5.703226e-01	7.855376e-01	6.791218e-01
