# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 4.000000e-01
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (5.000000e-01 0.000000e+00 5.000000e-02)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.3           	5.212247e-05	1.506640e+00	-1.566848e-04	-2.621991e-05	-1.304649e-04
0.6           	-6.618259e-05	1.628934e+00	2.773080e-04	7.247140e-05	2.048366e-04
0.9           	-5.813739e-06	1.712796e+00	5.311585e-05	2.074419e-05	3.237167e-05
1.2           	4.215956e-06	1.704158e+00	5.346031e-06	6.888971e-06	-1.542940e-06
1.5           	2.822531e-05	1.674298e+00	-3.434114e-05	1.105474e-05	-4.539587e-05
1.8           	7.252951e-05	1.600283e+00	2.026914e-04	1.738752e-04	2.881618e-05
2.1           	2.394157e-06	1.515696e+00	8.424751e-05	4.451791e-05	3.972960e-05
2.4           	1.179340e-06	1.438908e+00	3.803279e-05	2.019573e-05	1.783705e-05
2.7           	-1.060240e-06	1.350498e+00	1.428791e-05	6.083717e-06	8.204198e-06
3             	-1.013311e-05	1.258985e+00	4.553008e-05	1.263193e-05	3.289815e-05
3.3           	-3.295371e-05	1.169147e+00	7.902856e-05	6.560567e-06	7.246799e-05
3.6           	-2.293869e-05	1.090917e+00	-8.910425e-06	-2.739390e-05	1.848348e-05
3.9           	-5.345077e-05	9.681556e-01	3.845366e-05	-3.422394e-05	7.267760e-05
4.2           	-4.357434e-05	8.607736e-01	5.392023e-05	-1.661422e-05	7.053445e-05
4.5           	-2.469477e-05	7.759200e-01	-1.020225e-03	-5.348074e-04	-4.854179e-04
4.8           	-7.671409e-06	7.093956e-01	1.071780e-05	-2.312509e-06	1.303031e-05
5.1           	8.778943e-05	6.891560e-01	-1.463636e-05	8.047125e-05	-9.510761e-05
5.4           	2.649023e-05	7.208531e-01	1.107126e-03	5.800532e-04	5.270728e-04
5.7           	6.506494e-06	7.736815e-01	4.623635e-05	2.962467e-05	1.661168e-05
6             	1.354513e-04	9.333919e-01	3.048255e-04	2.878640e-04	1.696145e-05
6.3           	9.046631e-05	1.244535e+00	2.678611e-04	2.243969e-04	4.346424e-05
6.6           	5.626643e-05	1.525204e+00	-6.841709e-04	-2.858190e-04	-3.983519e-04
6.9           	-5.433300e-05	1.341353e+00	-2.126481e-04	-1.606570e-04	-5.199103e-05
7.2           	1.671007e-05	1.083441e+00	-4.071480e-04	-1.868639e-04	-2.202841e-04
7.5           	1.094815e-05	9.387546e-01	-4.324092e-04	-2.052564e-04	-2.271527e-04
7.8           	5.948261e-05	8.825773e-01	-1.652604e-04	-2.314758e-05	-1.421128e-04
8.1           	1.472470e-04	8.439154e-01	-5.968181e-04	-1.511620e-04	-4.456561e-04
8.4           	6.771412e-05	7.953391e-01	5.467620e-04	3.410951e-04	2.056669e-04
8.7           	-1.143793e-04	7.118153e-01	1.294758e-03	5.329996e-04	7.617582e-04
9             	-3.686056e-04	6.266284e-01	9.870154e-04	1.249021e-04	8.621133e-04
9.3           	-5.416683e-04	5.658588e-01	1.337466e-03	1.270646e-04	1.210401e-03
9.6           	-3.407374e-04	5.278228e-01	-1.718392e-03	-1.199933e-03	-5.184585e-04
9.9           	-1.374026e-04	4.959368e-01	-7.473401e-04	-5.110726e-04	-2.362675e-04
10.2          	-3.351157e-04	4.641122e-01	-1.647006e-03	-1.158619e-03	-4.883874e-04
10.5          	-1.119797e-04	5.044299e-01	-6.360486e-04	-4.300040e-04	-2.060446e-04
10.8          	-4.873616e-04	6.523078e-01	-6.670787e-04	-8.209010e-04	1.538223e-04
11.1          	6.282368e-05	9.833910e-01	8.788020e-05	1.067638e-04	-1.888358e-05
11.4          	-2.731805e-04	1.514538e+00	-9.683027e-04	-7.573318e-04	-2.109709e-04
11.7          	-9.901239e-04	1.767799e+00	-8.088331e-04	-1.394540e-03	5.857074e-04
12            	-6.672338e-04	1.728097e+00	-4.946990e-04	-9.145833e-04	4.198843e-04
12.3          	-3.185680e-04	1.530271e+00	-1.788614e-03	-1.212875e-03	-5.757388e-04
12.6          	-1.590961e-03	1.229651e+00	-5.210760e-03	-4.196341e-03	-1.014419e-03
12.9          	-2.048395e-03	9.253437e-01	-1.513864e-03	-2.805327e-03	1.291463e-03
13.2          	-1.978582e-03	8.077983e-01	7.203808e-04	-1.618391e-03	2.338772e-03
13.5          	-3.161523e-04	7.540180e-01	-2.192602e-03	-1.412453e-03	-7.801486e-04
13.8          	-1.303856e-04	6.895180e-01	-3.398107e-03	-1.829439e-03	-1.568668e-03
14.1          	-7.188123e-04	6.318087e-01	-1.353946e-03	-1.395785e-03	4.183950e-05
14.4          	-7.438624e-04	5.954376e-01	-3.975438e-03	-2.731581e-03	-1.243856e-03
14.7          	-9.290854e-04	6.050275e-01	-3.878112e-03	-2.868141e-03	-1.009971e-03
15            	-2.011775e-03	6.603021e-01	-4.326590e-03	-4.175071e-03	-1.515198e-04
15.3          	-2.982121e-03	7.678732e-01	-7.771868e-03	-6.868055e-03	-9.038127e-04
15.6          	-4.712175e-03	9.588113e-01	-1.173088e-02	-1.057762e-02	-1.153268e-03
15.9          	-7.939751e-03	1.256608e+00	-1.957989e-02	-1.772970e-02	-1.850194e-03
16.2          	-1.042860e-02	1.434302e+00	-2.744151e-02	-2.414936e-02	-3.292156e-03
16.5          	-1.174213e-02	1.522083e+00	-3.297234e-02	-2.822830e-02	-4.744041e-03
16.8          	-1.577370e-02	1.570035e+00	-4.392274e-02	-3.773508e-02	-6.187667e-03
17.1          	-1.779339e-02	1.650824e+00	-5.189999e-02	-4.374338e-02	-8.156606e-03
17.4          	-1.535728e-02	1.718475e+00	-5.015787e-02	-4.043622e-02	-9.721649e-03
17.7          	-1.185761e-02	1.773240e+00	-4.346771e-02	-3.359146e-02	-9.876247e-03
18            	-9.696360e-03	1.842072e+00	-3.361396e-02	-2.650334e-02	-7.110620e-03
18.3          	-9.842002e-03	1.859510e+00	-4.042542e-02	-3.005471e-02	-1.037071e-02
18.6          	-7.121816e-03	1.791031e+00	-4.495312e-02	-2.959838e-02	-1.535474e-02
18.9          	-3.778626e-03	1.643529e+00	-4.367236e-02	-2.561480e-02	-1.805755e-02
19.2          	4.091684e-04	1.415293e+00	-3.240706e-02	-1.579436e-02	-1.661270e-02
