# y+ ()       
# Time        	patch         	min           	max           	average       
0             	bodyWall	0.000000e+00	0.000000e+00	0.000000e+00
0.3           	bodyWall	1.888724e-01	6.148088e+00	2.816618e+00
0.6           	bodyWall	2.001263e-01	5.732629e+00	2.336489e+00
0.9           	bodyWall	2.396148e-01	5.431273e+00	2.054679e+00
1.2           	bodyWall	2.344816e-01	5.234076e+00	1.893621e+00
1.5           	bodyWall	2.247236e-01	5.082903e+00	1.775772e+00
1.8           	bodyWall	2.055650e-01	4.986666e+00	1.698712e+00
2.1           	bodyWall	1.507354e-01	4.935384e+00	1.619706e+00
2.4           	bodyWall	1.786615e-01	4.898910e+00	1.579416e+00
2.7           	bodyWall	2.248801e-01	4.891179e+00	1.566371e+00
3             	bodyWall	1.463579e-01	4.913902e+00	1.656449e+00
3.3           	bodyWall	1.640764e-01	4.965276e+00	1.730405e+00
3.6           	bodyWall	2.233275e-01	5.050881e+00	1.905774e+00
3.9           	bodyWall	2.233867e-01	5.866723e+00	2.202814e+00
4.2           	bodyWall	1.275622e-01	6.352398e+00	2.315775e+00
4.5           	bodyWall	6.264979e-02	6.494279e+00	2.346622e+00
4.8           	bodyWall	2.121611e-01	6.402590e+00	2.334085e+00
5.1           	bodyWall	1.014509e-01	6.055474e+00	2.258971e+00
5.4           	bodyWall	1.351749e-01	5.319484e+00	2.105367e+00
5.7           	bodyWall	5.790767e-02	5.119702e+00	1.825447e+00
6             	bodyWall	1.527520e-01	4.904821e+00	1.670431e+00
6.3           	bodyWall	2.183691e-01	4.733755e+00	1.532071e+00
6.6           	bodyWall	1.555695e-01	4.635440e+00	1.572730e+00
6.9           	bodyWall	1.248447e-01	4.587930e+00	1.511799e+00
7.2           	bodyWall	1.138563e-01	4.568744e+00	1.453170e+00
7.5           	bodyWall	1.348370e-01	4.511200e+00	1.435259e+00
7.8           	bodyWall	1.923107e-01	4.452647e+00	1.409225e+00
8.1           	bodyWall	1.561997e-01	4.405858e+00	1.391049e+00
8.4           	bodyWall	1.494744e-01	4.388175e+00	1.416925e+00
8.7           	bodyWall	2.060932e-01	4.430694e+00	1.437768e+00
9             	bodyWall	1.037642e-01	4.538485e+00	1.462236e+00
9.3           	bodyWall	1.368916e-01	4.674493e+00	1.596252e+00
9.6           	bodyWall	1.591950e-01	4.822481e+00	1.671338e+00
9.9           	bodyWall	1.230015e-01	5.546237e+00	2.107351e+00
10.2          	bodyWall	1.690044e-01	6.310885e+00	2.336333e+00
10.5          	bodyWall	1.430703e-01	6.581571e+00	2.440344e+00
10.8          	bodyWall	2.203491e-01	6.526910e+00	2.447503e+00
11.1          	bodyWall	2.197416e-01	6.141778e+00	2.305279e+00
11.4          	bodyWall	1.344503e-01	5.228281e+00	2.156930e+00
11.7          	bodyWall	1.305082e-01	4.847450e+00	1.810399e+00
12            	bodyWall	2.132731e-01	4.538426e+00	1.519658e+00
12.3          	bodyWall	2.111157e-01	4.351296e+00	1.387545e+00
12.6          	bodyWall	2.102711e-01	4.283211e+00	1.401119e+00
