# y+ ()       
# Time        	patch         	min           	max           	average       
0             	bodyWall	0.000000e+00	0.000000e+00	0.000000e+00
0             	actuatorSlot_top	0.000000e+00	0.000000e+00	0.000000e+00
0             	actuatorSlot_bottom	0.000000e+00	0.000000e+00	0.000000e+00
0.3           	bodyWall	1.889088e-01	6.223838e+00	2.945781e+00
0.3           	actuatorSlot_top	6.026182e+00	6.071051e+00	6.040278e+00
0.3           	actuatorSlot_bottom	6.026489e+00	6.071558e+00	6.040658e+00
0.6           	bodyWall	2.001095e-01	5.928689e+00	2.593495e+00
0.6           	actuatorSlot_top	5.149336e+00	5.335046e+00	5.224590e+00
0.6           	actuatorSlot_bottom	5.149629e+00	5.335589e+00	5.225018e+00
0.9           	bodyWall	2.410057e-01	5.692300e+00	2.320366e+00
0.9           	actuatorSlot_top	4.129862e+00	4.537287e+00	4.320938e+00
0.9           	actuatorSlot_bottom	4.130462e+00	4.537853e+00	4.321541e+00
1.2           	bodyWall	2.361651e-01	5.515580e+00	2.137950e+00
1.2           	actuatorSlot_top	3.205400e+00	3.820785e+00	3.502779e+00
1.2           	actuatorSlot_bottom	3.206537e+00	3.821667e+00	3.503819e+00
1.5           	bodyWall	2.306841e-01	5.368792e+00	1.974208e+00
1.5           	actuatorSlot_top	2.381746e+00	3.176714e+00	2.772836e+00
1.5           	actuatorSlot_bottom	2.382681e+00	3.177313e+00	2.773624e+00
1.8           	bodyWall	2.058410e-01	5.257672e+00	1.873241e+00
1.8           	actuatorSlot_top	1.637418e+00	2.628035e+00	2.136450e+00
1.8           	actuatorSlot_bottom	1.638913e+00	2.628867e+00	2.137612e+00
2.1           	bodyWall	1.813795e-01	5.168033e+00	1.798827e+00
2.1           	actuatorSlot_top	9.005980e-01	2.178168e+00	1.575721e+00
2.1           	actuatorSlot_bottom	9.018352e-01	2.178607e+00	1.576490e+00
2.4           	bodyWall	1.822234e-01	5.093810e+00	1.735429e+00
2.4           	actuatorSlot_top	3.403701e-01	1.813846e+00	1.096426e+00
2.4           	actuatorSlot_bottom	3.390052e-01	1.814374e+00	1.096882e+00
2.7           	bodyWall	2.260964e-01	5.023607e+00	1.694144e+00
2.7           	actuatorSlot_top	3.663150e-01	1.437306e+00	9.278562e-01
2.7           	actuatorSlot_bottom	3.667897e-01	1.438092e+00	9.280158e-01
3             	bodyWall	8.608289e-02	4.958732e+00	1.651256e+00
3             	actuatorSlot_top	4.378426e-01	1.459797e+00	9.559646e-01
3             	actuatorSlot_bottom	4.366663e-01	1.459199e+00	9.557607e-01
3.3           	bodyWall	1.581698e-01	4.905518e+00	1.617121e+00
3.3           	actuatorSlot_top	3.134284e-01	1.602806e+00	1.049939e+00
3.3           	actuatorSlot_bottom	3.148250e-01	1.602401e+00	1.049707e+00
3.6           	bodyWall	1.171042e-01	4.862433e+00	1.583012e+00
3.6           	actuatorSlot_top	3.148460e-01	1.678748e+00	1.160360e+00
3.6           	actuatorSlot_bottom	3.157173e-01	1.678417e+00	1.159991e+00
3.9           	bodyWall	2.215910e-01	4.823317e+00	1.548729e+00
3.9           	actuatorSlot_top	5.978981e-01	1.732176e+00	1.290568e+00
3.9           	actuatorSlot_bottom	5.968807e-01	1.731827e+00	1.289987e+00
4.2           	bodyWall	1.078938e-01	4.780131e+00	1.529123e+00
4.2           	actuatorSlot_top	8.649402e-01	1.786388e+00	1.418466e+00
4.2           	actuatorSlot_bottom	8.641480e-01	1.786070e+00	1.417957e+00
4.5           	bodyWall	6.322410e-02	4.740210e+00	1.505797e+00
4.5           	actuatorSlot_top	1.033499e+00	1.815470e+00	1.502869e+00
4.5           	actuatorSlot_bottom	1.032980e+00	1.815244e+00	1.502516e+00
4.8           	bodyWall	1.659424e-01	4.708454e+00	1.493134e+00
4.8           	actuatorSlot_top	1.128199e+00	1.826257e+00	1.548538e+00
4.8           	actuatorSlot_bottom	1.127986e+00	1.826135e+00	1.548373e+00
5.1           	bodyWall	1.555751e-01	4.682958e+00	1.478073e+00
5.1           	actuatorSlot_top	1.185365e+00	1.827569e+00	1.573633e+00
5.1           	actuatorSlot_bottom	1.185203e+00	1.827470e+00	1.573503e+00
5.4           	bodyWall	1.027091e-01	4.660897e+00	1.457670e+00
5.4           	actuatorSlot_top	1.230064e+00	1.827443e+00	1.592852e+00
5.4           	actuatorSlot_bottom	1.229879e+00	1.827346e+00	1.592713e+00
5.7           	bodyWall	5.371980e-02	4.640087e+00	1.447941e+00
5.7           	actuatorSlot_top	1.273517e+00	1.827875e+00	1.612127e+00
5.7           	actuatorSlot_bottom	1.273275e+00	1.827776e+00	1.611960e+00
6             	bodyWall	1.222372e-01	4.618417e+00	1.431206e+00
6             	actuatorSlot_top	1.321648e+00	1.828041e+00	1.633587e+00
6             	actuatorSlot_bottom	1.321385e+00	1.827942e+00	1.633411e+00
6.3           	bodyWall	5.226560e-02	4.596024e+00	1.422745e+00
6.3           	actuatorSlot_top	1.367171e+00	1.824806e+00	1.652471e+00
6.3           	actuatorSlot_bottom	1.366958e+00	1.824732e+00	1.652329e+00
6.6           	bodyWall	5.523161e-02	4.576942e+00	1.413257e+00
6.6           	actuatorSlot_top	1.392486e+00	1.813479e+00	1.658342e+00
6.6           	actuatorSlot_bottom	1.392374e+00	1.813445e+00	1.658266e+00
6.9           	bodyWall	6.461834e-02	4.562261e+00	1.408098e+00
6.9           	actuatorSlot_top	1.404828e+00	1.803217e+00	1.658786e+00
6.9           	actuatorSlot_bottom	1.404766e+00	1.803180e+00	1.658734e+00
7.2           	bodyWall	1.519265e-01	4.548861e+00	1.405192e+00
7.2           	actuatorSlot_top	1.418362e+00	1.795074e+00	1.660952e+00
7.2           	actuatorSlot_bottom	1.418291e+00	1.795027e+00	1.660890e+00
7.5           	bodyWall	5.259648e-02	4.535366e+00	1.408428e+00
7.5           	actuatorSlot_top	1.434046e+00	1.786398e+00	1.663859e+00
7.5           	actuatorSlot_bottom	1.433951e+00	1.786356e+00	1.663788e+00
7.8           	bodyWall	3.716185e-02	4.524158e+00	1.422993e+00
7.8           	actuatorSlot_top	1.442792e+00	1.777023e+00	1.663042e+00
7.8           	actuatorSlot_bottom	1.442693e+00	1.777000e+00	1.662980e+00
8.1           	bodyWall	1.116667e-01	4.516693e+00	1.442151e+00
8.1           	actuatorSlot_top	1.443573e+00	1.770128e+00	1.659742e+00
8.1           	actuatorSlot_bottom	1.443480e+00	1.770122e+00	1.659692e+00
8.4           	bodyWall	1.815873e-01	4.509931e+00	1.448590e+00
8.4           	actuatorSlot_top	1.445538e+00	1.765557e+00	1.658168e+00
8.4           	actuatorSlot_bottom	1.445436e+00	1.765555e+00	1.658115e+00
8.7           	bodyWall	1.284981e-01	4.501274e+00	1.448374e+00
8.7           	actuatorSlot_top	1.453910e+00	1.760647e+00	1.659468e+00
8.7           	actuatorSlot_bottom	1.453794e+00	1.760646e+00	1.659409e+00
9             	bodyWall	9.487765e-02	4.488645e+00	1.447982e+00
9             	actuatorSlot_top	1.470726e+00	1.754009e+00	1.663512e+00
9             	actuatorSlot_bottom	1.470618e+00	1.753992e+00	1.663453e+00
9.3           	bodyWall	6.620829e-02	4.472558e+00	1.437245e+00
9.3           	actuatorSlot_top	1.490262e+00	1.744527e+00	1.666252e+00
9.3           	actuatorSlot_bottom	1.490179e+00	1.744505e+00	1.666200e+00
9.6           	bodyWall	1.398573e-01	4.454820e+00	1.441147e+00
9.6           	actuatorSlot_top	1.506966e+00	1.732195e+00	1.665834e+00
9.6           	actuatorSlot_bottom	1.506916e+00	1.732151e+00	1.665786e+00
9.9           	bodyWall	1.270854e-01	4.436954e+00	1.433265e+00
9.9           	actuatorSlot_top	1.518510e+00	1.720269e+00	1.662292e+00
9.9           	actuatorSlot_bottom	1.518470e+00	1.720204e+00	1.662234e+00
10.2          	bodyWall	1.175119e-01	4.415794e+00	1.442287e+00
10.2          	actuatorSlot_top	1.532611e+00	1.706982e+00	1.658653e+00
10.2          	actuatorSlot_bottom	1.532543e+00	1.706883e+00	1.658563e+00
10.5          	bodyWall	5.863574e-02	4.389052e+00	1.463126e+00
10.5          	actuatorSlot_top	1.549013e+00	1.691110e+00	1.652093e+00
10.5          	actuatorSlot_bottom	1.548857e+00	1.690970e+00	1.651949e+00
10.8          	bodyWall	1.328216e-01	4.681745e+00	1.564676e+00
10.8          	actuatorSlot_top	1.563241e+00	1.670901e+00	1.639724e+00
10.8          	actuatorSlot_bottom	1.563035e+00	1.670760e+00	1.639576e+00
11.1          	bodyWall	7.385761e-02	4.516526e+00	1.624775e+00
11.1          	actuatorSlot_top	1.565617e+00	1.644039e+00	1.617009e+00
11.1          	actuatorSlot_bottom	1.565435e+00	1.643923e+00	1.616904e+00
11.4          	bodyWall	1.898005e-01	4.294101e+00	1.639868e+00
11.4          	actuatorSlot_top	1.546482e+00	1.618926e+00	1.591524e+00
11.4          	actuatorSlot_bottom	1.546498e+00	1.618854e+00	1.591461e+00
11.7          	bodyWall	1.537058e-01	4.269922e+00	1.622886e+00
11.7          	actuatorSlot_top	1.514937e+00	1.596760e+00	1.569099e+00
11.7          	actuatorSlot_bottom	1.514972e+00	1.596714e+00	1.569061e+00
12            	bodyWall	1.575111e-01	4.252157e+00	1.590777e+00
12            	actuatorSlot_top	1.493231e+00	1.579978e+00	1.551815e+00
12            	actuatorSlot_bottom	1.493286e+00	1.579952e+00	1.551808e+00
12.3          	bodyWall	1.398307e-01	4.243615e+00	1.570331e+00
12.3          	actuatorSlot_top	1.483009e+00	1.568182e+00	1.540408e+00
12.3          	actuatorSlot_bottom	1.483057e+00	1.568187e+00	1.540424e+00
12.6          	bodyWall	9.509314e-02	4.248286e+00	1.532659e+00
12.6          	actuatorSlot_top	1.492733e+00	1.566358e+00	1.539363e+00
12.6          	actuatorSlot_bottom	1.492768e+00	1.566402e+00	1.539404e+00
12.9          	bodyWall	1.627848e-01	4.261250e+00	1.486061e+00
12.9          	actuatorSlot_top	1.500671e+00	1.575768e+00	1.549532e+00
12.9          	actuatorSlot_bottom	1.500713e+00	1.575794e+00	1.549554e+00
13.2          	bodyWall	1.120143e-01	4.266406e+00	1.473919e+00
13.2          	actuatorSlot_top	1.503748e+00	1.586857e+00	1.559780e+00
13.2          	actuatorSlot_bottom	1.503727e+00	1.586839e+00	1.559762e+00
13.5          	bodyWall	1.100673e-01	4.255416e+00	1.465903e+00
13.5          	actuatorSlot_top	1.512563e+00	1.585114e+00	1.558988e+00
13.5          	actuatorSlot_bottom	1.512475e+00	1.585073e+00	1.558953e+00
13.8          	bodyWall	3.349221e-02	4.233628e+00	1.455176e+00
13.8          	actuatorSlot_top	1.497233e+00	1.570938e+00	1.544225e+00
13.8          	actuatorSlot_bottom	1.497322e+00	1.570926e+00	1.544223e+00
14.1          	bodyWall	5.032312e-02	4.213876e+00	1.439118e+00
14.1          	actuatorSlot_top	1.463214e+00	1.550628e+00	1.522518e+00
14.1          	actuatorSlot_bottom	1.463376e+00	1.550664e+00	1.522583e+00
14.4          	bodyWall	1.212910e-01	4.201754e+00	1.431006e+00
14.4          	actuatorSlot_top	1.443848e+00	1.536020e+00	1.506840e+00
14.4          	actuatorSlot_bottom	1.444023e+00	1.536099e+00	1.506941e+00
14.7          	bodyWall	3.855800e-02	4.196539e+00	1.413116e+00
14.7          	actuatorSlot_top	1.440539e+00	1.529622e+00	1.501184e+00
14.7          	actuatorSlot_bottom	1.440691e+00	1.529716e+00	1.501291e+00
15            	bodyWall	6.576872e-02	4.191683e+00	1.399837e+00
15            	actuatorSlot_top	1.439893e+00	1.527513e+00	1.499443e+00
15            	actuatorSlot_bottom	1.440001e+00	1.527588e+00	1.499526e+00
15.3          	bodyWall	7.063614e-02	4.182031e+00	1.390191e+00
15.3          	actuatorSlot_top	1.429153e+00	1.522526e+00	1.493152e+00
15.3          	actuatorSlot_bottom	1.429219e+00	1.522568e+00	1.493200e+00
15.6          	bodyWall	6.988109e-02	4.168366e+00	1.376877e+00
15.6          	actuatorSlot_top	1.408270e+00	1.511665e+00	1.479972e+00
15.6          	actuatorSlot_bottom	1.408306e+00	1.511683e+00	1.479995e+00
15.9          	bodyWall	6.828207e-02	4.154346e+00	1.371852e+00
15.9          	actuatorSlot_top	1.385399e+00	1.497825e+00	1.464044e+00
15.9          	actuatorSlot_bottom	1.385428e+00	1.497839e+00	1.464061e+00
16.2          	bodyWall	4.589608e-02	4.142162e+00	1.368955e+00
16.2          	actuatorSlot_top	1.367500e+00	1.486775e+00	1.450545e+00
16.2          	actuatorSlot_bottom	1.367523e+00	1.486786e+00	1.450561e+00
