Point ID,arc_length,Co,CpMean,nut,p,phi,phi_0,pMean,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_0_0,U_0_1,U_0_2,U_0_Magnitude,U_1,U_2,U_Magnitude,UMean_0,UMean_1,UMean_2,UMean_Magnitude,vtkValidPointMask,yPlus
0,0,0.00231125,0.0492497,1.13944e-13,0.000851632,nan,nan,0.00393997,1,-10.5,0.005,10.5475,0.404432,0.404432,0,0,0.404432,0,0,0.404432,0.406445,0,0,0.406445,1,0
1,0.0209999,0.00231127,0.0492437,1.13522e-13,0.000850373,nan,nan,0.0039395,1,-10.479,0.005,10.5266,0.404434,0.404434,-1.79908e-05,0,0.404434,-1.79891e-05,0,0.404434,0.406449,-2.47513e-05,0,0.406449,1,0
2,0.0419998,0.00231129,0.0492377,1.13101e-13,0.000849113,nan,nan,0.00393902,1,-10.458,0.005,10.5057,0.404436,0.404436,-3.59815e-05,0,0.404436,-3.59782e-05,0,0.404436,0.406454,-4.95025e-05,0,0.406454,1,0
3,0.0629997,0.0023113,0.0492318,1.1268e-13,0.000847854,nan,nan,0.00393854,1,-10.437,0.005,10.4848,0.404438,0.404438,-5.39723e-05,0,0.404438,-5.39673e-05,0,0.404438,0.406458,-7.42538e-05,0,0.406458,1,0
4,0.0839996,0.00231132,0.0492258,1.12258e-13,0.000846594,nan,nan,0.00393807,1,-10.416,0.005,10.4639,0.40444,0.40444,-7.19631e-05,0,0.40444,-7.19564e-05,0,0.40444,0.406463,-9.9005e-05,0,0.406463,1,0
5,0.105,0.00231134,0.0492199,1.11837e-13,0.000845335,nan,nan,0.00393759,1,-10.395,0.005,10.443,0.404441,0.404441,-8.99538e-05,0,0.404441,-8.99456e-05,0,0.404441,0.406467,-0.000123756,0,0.406467,1,0
6,0.126,0.00231135,0.0492139,1.11416e-13,0.000844075,nan,nan,0.00393711,1,-10.374,0.005,10.4221,0.404443,0.404443,-0.000107945,0,0.404443,-0.000107935,0,0.404443,0.406471,-0.000148509,0,0.406471,1,0
7,0.147,0.00231137,0.0492079,1.10994e-13,0.000842816,nan,nan,0.00393663,1,-10.353,0.005,10.4012,0.404445,0.404445,-0.000125936,0,0.404445,-0.000125925,0,0.404445,0.406476,-0.00017326,0,0.406476,1,0
8,0.168,0.00231139,0.049202,1.10573e-13,0.000841556,nan,nan,0.00393616,1,-10.332,0.005,10.3803,0.404447,0.404447,-0.000143927,0,0.404447,-0.000143914,0,0.404447,0.40648,-0.000198011,0,0.40648,1,0
9,0.189,0.0023114,0.049196,1.10152e-13,0.000840297,nan,nan,0.00393568,1,-10.311,0.005,10.3594,0.404449,0.404449,-0.000161918,0,0.404449,-0.000161903,0,0.404449,0.406485,-0.000222762,0,0.406485,1,0
10,0.21,0.00231142,0.0491901,1.09731e-13,0.000839037,nan,nan,0.0039352,1,-10.29,0.005,10.3385,0.404451,0.404451,-0.000179909,0,0.404451,-0.000179892,0,0.404451,0.406489,-0.000247514,0,0.406489,1,0
11,0.231,0.00231144,0.0491841,1.09309e-13,0.000837778,nan,nan,0.00393473,1,-10.269,0.005,10.3176,0.404453,0.404453,-0.000197899,0,0.404453,-0.000197881,0,0.404453,0.406493,-0.000272265,0,0.406493,1,0
12,0.252,0.00231145,0.0491781,1.08888e-13,0.000836518,nan,nan,0.00393425,1,-10.248,0.005,10.2967,0.404455,0.404455,-0.00021589,0,0.404455,-0.00021587,0,0.404455,0.406498,-0.000297016,0,0.406498,1,0
13,0.273,0.00231147,0.0491722,1.08467e-13,0.000835259,nan,nan,0.00393377,1,-10.227,0.005,10.2758,0.404456,0.404456,-0.000233881,0,0.404457,-0.000233859,0,0.404457,0.406502,-0.000321767,0,0.406502,1,0
14,0.294,0.00231149,0.0491662,1.08045e-13,0.000833999,nan,nan,0.0039333,1,-10.206,0.005,10.2549,0.404458,0.404458,-0.000251872,0,0.404458,-0.000251848,0,0.404458,0.406507,-0.000346519,0,0.406507,1,0
15,0.315,0.0023115,0.0491603,1.07624e-13,0.00083274,nan,nan,0.00393282,1,-10.185,0.005,10.234,0.40446,0.40446,-0.000269862,0,0.40446,-0.000269838,0,0.40446,0.406511,-0.00037127,0,0.406511,1,0
16,0.336,0.00231152,0.0491543,1.07203e-13,0.00083148,nan,nan,0.00393234,1,-10.164,0.005,10.2131,0.404462,0.404462,-0.000287854,0,0.404462,-0.000287827,0,0.404462,0.406515,-0.000396022,0,0.406515,1,0
17,0.357,0.00231154,0.0491483,1.06781e-13,0.000830221,nan,nan,0.00393187,1,-10.143,0.005,10.1922,0.404464,0.404464,-0.000305845,0,0.404464,-0.000305817,0,0.404464,0.40652,-0.000420774,0,0.40652,1,0
18,0.378,0.00231155,0.0491424,1.0636e-13,0.000828961,nan,nan,0.00393139,1,-10.122,0.005,10.1713,0.404466,0.404466,-0.000323835,0,0.404466,-0.000323806,0,0.404466,0.406524,-0.000445525,0,0.406524,1,0
19,0.399,0.00231157,0.0491364,1.05939e-13,0.000827702,nan,nan,0.00393091,1,-10.101,0.005,10.1504,0.404468,0.404468,-0.000341826,0,0.404468,-0.000341795,0,0.404468,0.406529,-0.000470276,0,0.406529,1,0
20,0.42,0.00231159,0.0491305,1.05517e-13,0.000826442,nan,nan,0.00393044,1,-10.08,0.005,10.1295,0.40447,0.40447,-0.000359817,0,0.40447,-0.000359784,0,0.40447,0.406533,-0.000495027,0,0.406533,1,0
21,0.441,0.0023116,0.0491245,1.05096e-13,0.000825183,nan,nan,0.00392996,1,-10.059,0.005,10.1086,0.404471,0.404472,-0.000377808,0,0.404472,-0.000377773,0,0.404472,0.406537,-0.000519779,0,0.406538,1,0
