Point ID,arc_length,Co,nut,p,phi,phi_0,pMean,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_0_0,U_0_1,U_0_2,U_0_Magnitude,U_1,U_2,U_Magnitude,UMean_0,UMean_1,UMean_2,UMean_Magnitude,vtkValidPointMask,yPlus
0,0,0.00231618,1.20108e-13,0.000786367,nan,nan,0.00349237,2,-10.5,0.05,10.6889,0.405293,0.405294,0,0,0.405294,0,0,0.405293,0.407559,0,0,0.407559,1,0
1,0.0209999,0.00231619,1.1965e-13,0.000785242,nan,nan,0.00349179,2,-10.479,0.05,10.6683,0.405295,0.405295,-1.81501e-05,0,0.405295,-1.81486e-05,0,0.405295,0.407564,-2.19537e-05,0,0.407564,1,0
2,0.0419998,0.00231621,1.19193e-13,0.000784117,nan,nan,0.00349122,2,-10.458,0.05,10.6476,0.405296,0.405297,-3.63001e-05,0,0.405297,-3.62971e-05,0,0.405296,0.407568,-4.39074e-05,0,0.407568,1,0
3,0.0629997,0.00231622,1.18736e-13,0.000782992,nan,nan,0.00349064,2,-10.437,0.05,10.627,0.405298,0.405298,-5.44502e-05,0,0.405298,-5.44457e-05,0,0.405298,0.407573,-6.58612e-05,0,0.407573,1,0
4,0.0839996,0.00231623,1.18278e-13,0.000781867,nan,nan,0.00349006,2,-10.416,0.05,10.6064,0.405299,0.405299,-7.26003e-05,0,0.405299,-7.25943e-05,0,0.405299,0.407578,-8.78149e-05,0,0.407578,1,0
5,0.105,0.00231625,1.17821e-13,0.000780742,nan,nan,0.00348949,2,-10.395,0.05,10.5858,0.4053,0.405301,-9.07504e-05,0,0.405301,-9.07429e-05,0,0.4053,0.407582,-0.000109769,0,0.407582,1,0
6,0.126,0.00231626,1.17364e-13,0.000779617,nan,nan,0.00348891,2,-10.374,0.05,10.5651,0.405302,0.405302,-0.000108901,0,0.405302,-0.000108892,0,0.405302,0.407587,-0.000131723,0,0.407587,1,0
7,0.147,0.00231628,1.16906e-13,0.000778492,nan,nan,0.00348834,2,-10.353,0.05,10.5445,0.405303,0.405304,-0.000127051,0,0.405304,-0.000127041,0,0.405303,0.407591,-0.000153677,0,0.407591,1,0
8,0.168,0.00231629,1.16449e-13,0.000777367,nan,nan,0.00348776,2,-10.332,0.05,10.5239,0.405305,0.405305,-0.000145201,0,0.405305,-0.000145189,0,0.405305,0.407596,-0.000175631,0,0.407596,1,0
9,0.189,0.0023163,1.15992e-13,0.000776242,nan,nan,0.00348719,2,-10.311,0.05,10.5033,0.405306,0.405307,-0.000163351,0,0.405307,-0.000163338,0,0.405306,0.407601,-0.000197584,0,0.407601,1,0
10,0.21,0.00231632,1.15534e-13,0.000775117,nan,nan,0.00348661,2,-10.29,0.05,10.4827,0.405307,0.405308,-0.000181502,0,0.405308,-0.000181487,0,0.405307,0.407605,-0.000219538,0,0.407605,1,0
11,0.231,0.00231633,1.15077e-13,0.000773992,nan,nan,0.00348603,2,-10.269,0.05,10.4621,0.405309,0.405309,-0.000199652,0,0.405309,-0.000199635,0,0.405309,0.40761,-0.000241492,0,0.40761,1,0
12,0.252,0.00231635,1.1462e-13,0.000772867,nan,nan,0.00348546,2,-10.248,0.05,10.4415,0.40531,0.405311,-0.000217802,0,0.405311,-0.000217784,0,0.40531,0.407615,-0.000263446,0,0.407615,1,0
13,0.273,0.00231636,1.14162e-13,0.000771742,nan,nan,0.00348488,2,-10.227,0.05,10.4208,0.405312,0.405312,-0.000235952,0,0.405312,-0.000235932,0,0.405312,0.407619,-0.000285399,0,0.407619,1,0
14,0.294,0.00231638,1.13705e-13,0.000770617,nan,nan,0.00348431,2,-10.206,0.05,10.4002,0.405313,0.405314,-0.000254102,0,0.405314,-0.000254081,0,0.405313,0.407624,-0.000307353,0,0.407624,1,0
15,0.315,0.00231639,1.13248e-13,0.000769492,nan,nan,0.00348373,2,-10.185,0.05,10.3796,0.405315,0.405315,-0.000272252,0,0.405315,-0.000272229,0,0.405315,0.407628,-0.000329307,0,0.407629,1,0
16,0.336,0.0023164,1.1279e-13,0.000768367,nan,nan,0.00348315,2,-10.164,0.05,10.359,0.405316,0.405316,-0.000290403,0,0.405317,-0.000290379,0,0.405316,0.407633,-0.000351261,0,0.407633,1,0
17,0.357,0.00231642,1.12333e-13,0.000767242,nan,nan,0.00348258,2,-10.143,0.05,10.3384,0.405317,0.405318,-0.000308553,0,0.405318,-0.000308527,0,0.405317,0.407638,-0.000373215,0,0.407638,1,0
18,0.378,0.00231643,1.11876e-13,0.000766117,nan,nan,0.003482,2,-10.122,0.05,10.3178,0.405319,0.405319,-0.000326703,0,0.405319,-0.000326676,0,0.405319,0.407642,-0.000395169,0,0.407643,1,0
19,0.399,0.00231645,1.11418e-13,0.000764992,nan,nan,0.00348143,2,-10.101,0.05,10.2972,0.40532,0.405321,-0.000344853,0,0.405321,-0.000344825,0,0.40532,0.407647,-0.000417123,0,0.407647,1,0
20,0.42,0.00231646,1.10961e-13,0.000763867,nan,nan,0.00348085,2,-10.08,0.05,10.2766,0.405322,0.405322,-0.000363003,0,0.405322,-0.000362973,0,0.405322,0.407652,-0.000439076,0,0.407652,1,0
21,0.441,0.00231647,1.10504e-13,0.000762742,nan,nan,0.00348027,2,-10.059,0.05,10.256,0.405323,0.405324,-0.000381153,0,0.405324,-0.000381122,0,0.405323,0.407656,-0.00046103,0,0.407657,1,0
22,0.462,0.00231649,1.10046e-13,0.000761617,nan,nan,0.0034797,2,-10.038,0.05,10.2354,0.405324,0.405325,-0.000399303,0,0.405325,-0.00039927,0,0.405325,0.407661,-0.000482984,0,0.407661,1,0
23,0.483,0.0023165,1.09589e-13,0.000760492,nan,nan,0.00347912,2,-10.017,0.05,10.2148,0.405326,0.405326,-0.000417453,0,0.405327,-0.000417419,0,0.405326,0.407665,-0.000504937,0,0.407666,1,0
24,0.504,0.00231652,1.09132e-13,0.000759367,nan,nan,0.00347855,2,-9.996,0.05,10.1942,0.405327,0.405328,-0.000435603,0,0.405328,-0.000435567,0,0.405328,0.40767,-0.000526891,0,0.40767,1,0
25,0.525,0.00231653,1.08674e-13,0.000758242,nan,nan,0.00347797,2,-9.975,0.05,10.1736,0.405329,0.405329,-0.000453753,0,0.405329,-0.000453716,0,0.405329,0.407675,-0.000548845,0,0.407675,1,0
26,0.546,0.00231655,1.08217e-13,0.000757117,nan,nan,0.00347739,2,-9.954,0.05,10.1531,0.40533,0.405331,-0.000471904,0,0.405331,-0.000471865,0,0.40533,0.407679,-0.000570799,0,0.40768,1,0
27,0.567,0.00231656,1.0776e-13,0.000755992,nan,nan,0.00347682,2,-9.933,0.05,10.1325,0.405332,0.405332,-0.000490054,0,0.405332,-0.000490014,0,0.405332,0.407684,-0.000592753,0,0.407684,1,0
28,0.588,0.00231657,1.07302e-13,0.000754867,nan,nan,0.00347624,2,-9.912,0.05,10.1119,0.405333,0.405333,-0.000508205,0,0.405334,-0.000508162,0,0.405333,0.407689,-0.000614707,0,0.407689,1,0
29,0.609,0.00231659,1.06845e-13,0.000753742,nan,nan,0.00347567,2,-9.891,0.05,10.0913,0.405334,0.405335,-0.000526355,0,0.405335,-0.000526311,0,0.405335,0.407693,-0.000636661,0,0.407694,1,0
30,0.63,0.0023166,1.06388e-13,0.000752617,nan,nan,0.00347509,2,-9.87,0.05,10.0707,0.405336,0.405336,-0.000544505,0,0.405337,-0.00054446,0,0.405336,0.407698,-0.000658615,0,0.407698,1,0
31,0.651,0.00231662,1.0593e-13,0.000751492,nan,nan,0.00347451,2,-9.849,0.05,10.0501,0.405337,0.405338,-0.000562655,0,0.405338,-0.000562608,0,0.405338,0.407703,-0.000680568,0,0.407703,1,0
32,0.672,0.00231663,1.05473e-13,0.000750367,nan,nan,0.00347394,2,-9.828,0.05,10.0296,0.405339,0.405339,-0.000580805,0,0.40534,-0.000580757,0,0.405339,0.407707,-0.000702522,0,0.407708,1,0
33,0.693,0.00231665,1.05016e-13,0.000749242,nan,nan,0.00347336,2,-9.807,0.05,10.009,0.40534,0.405341,-0.000598955,0,0.405341,-0.000598905,0,0.40534,0.407712,-0.000724476,0,0.407712,1,0
34,0.714,0.00231666,1.04558e-13,0.000748117,nan,nan,0.00347279,2,-9.786,0.05,9.98841,0.405341,0.405342,-0.000617105,0,0.405342,-0.000617054,0,0.405342,0.407716,-0.000746429,0,0.407717,1,0
35,0.735,0.00231667,1.04101e-13,0.000746992,nan,nan,0.00347221,2,-9.765,0.05,9.96783,0.405343,0.405343,-0.000635255,0,0.405344,-0.000635203,0,0.405343,0.407721,-0.000768383,0,0.407722,1,0
36,0.756,0.00231669,1.03644e-13,0.000745867,nan,nan,0.00347163,2,-9.744,0.05,9.94726,0.405344,0.405345,-0.000653405,0,0.405345,-0.000653351,0,0.405345,0.407726,-0.000790337,0,0.407726,1,0
37,0.777,0.0023167,1.03186e-13,0.000744742,nan,nan,0.00347106,2,-9.723,0.05,9.92669,0.405346,0.405346,-0.000671556,0,0.405347,-0.000671501,0,0.405346,0.40773,-0.000812292,0,0.407731,1,0
38,0.798,0.00231672,1.02729e-13,0.000743617,nan,nan,0.00347048,2,-9.702,0.05,9.90612,0.405347,0.405348,-0.000689706,0,0.405348,-0.000689649,0,0.405348,0.407735,-0.000834245,0,0.407736,1,0
39,0.819,0.00231673,1.02272e-13,0.000742492,nan,nan,0.00346991,2,-9.681,0.05,9.88556,0.405349,0.405349,-0.000707856,0,0.40535,-0.000707798,0,0.405349,0.40774,-0.000856199,0,0.40774,1,0
